building,floor,height,rooms,rowid,square,price
1-10,1,4,32,2комн.,62.36,8474100
1-11,1,4,32,2комн.,62.65,8513500
1-116,1,23,32,1комн.,40.03,6580100
1-117,1,23,32,1комн.,39.69,6524200
1-118,1,23,32,2комн.,62.36,9926700
1-119,1,23,32,1комн.,40.04,6581800
1-121,1,24,32,4комн.,101.67,15539100
1-12,1,4,32,3комн.,86.83,11401300
1-122,1,24,32,1комн.,40.03,6659600
1-123,1,24,32,1комн.,39.69,6603000
1-124,1,24,32,2комн.,62.36,10050500
1-125,1,24,32,1комн.,40.04,6661300
1-126,1,24,32,4комн.,106.54,16283500
1-127,1,25,32,4комн.,101.67,15804500
1-128,1,25,32,1комн.,40.03,6764100
1-129,1,25,32,1комн.,39.69,6706600
1-131,1,25,32,1комн.,40.04,6765800
1-132,1,25,32,4комн.,106.54,16561600
1-133,1,26,32,4комн.,101.67,16076300
1-134,1,26,32,1комн.,40.03,6871100
1-135,1,26,32,1комн.,39.69,6812700
1-136,1,26,32,2комн.,62.36,10380000
1-137,1,26,32,1комн.,40.04,6872800
1-138,1,26,32,4комн.,106.54,16846300
1-139,1,27,32,4комн.,101.67,16297200
1-140,1,27,32,1комн.,40.03,6958100
1-141,1,27,32,1комн.,39.69,6899000
1-14,1,5,32,2комн.,65.53,8909000
1-142,1,27,32,2комн.,62.36,10515500
1-143,1,27,32,1комн.,40.04,6959800
1-144,1,27,32,4комн.,106.54,17077900
1-145,1,28,32,4комн.,101.67,16492800
1-146,1,28,32,1комн.,40.03,7035100
1-147,1,28,32,1комн.,39.69,6975300
1-148,1,28,32,2комн.,62.36,10635500
1-149,1,28,32,1комн.,40.04,7036800
1-150,1,28,32,4комн.,106.54,17282800
1-151,1,29,32,4комн.,101.67,16688300
1-152,1,29,32,1комн.,40.03,7112100
1-153,1,29,32,1комн.,39.69,7051700
1-154,1,29,32,2комн.,62.36,10755400
1-155,1,29,32,1комн.,40.04,7113900
1-156,1,29,32,4комн.,106.54,17487700
1-157,1,30,32,4комн.,101.67,16883900
1-158,1,30,32,1комн.,40.03,7189100
1-159,1,30,32,1комн.,39.69,7128000
1-160,1,30,32,2комн.,62.36,10875400
