rowid,building,floor,height,rooms,square,price
2-100,2,14,32,2комн.,58.34,7317300
2-101,2,14,32,2комн.,68.64,8691200
2-102,2,14,32,2комн.,60.66,7608200
2-103,2,14,32,1комн.,38.59,5032100
2-104,2,14,32,2комн.,63.24,7931800
2-105,2,14,32,2комн.,64.5,8089900
2-106,2,14,32,3комн.,86.25,10439300
2-107,2,14,32,1комн.,38.8,5059500
2-108,2,14,32,1комн.,38.79,5058200
2-109,2,15,32,2комн.,58.34,7320800
2-11,2,4,32,2комн.,68.64,8646100
2-110,2,15,32,2комн.,68.64,8695300
2-111,2,15,32,2комн.,60.66,7611900
2-113,2,15,32,2комн.,63.24,7935600
2-114,2,15,32,2комн.,64.5,8093700
2-115,2,15,32,3комн.,86.25,10444400
2-116,2,15,32,1комн.,38.8,5061800
2-117,2,15,32,1комн.,38.79,5060500
2-118,2,16,32,2комн.,58.34,7394000
2-119,2,16,32,2комн.,68.64,8822600
2-12,2,4,32,2комн.,60.66,7568300
2-120,2,16,32,2комн.,60.66,7724300
2-121,2,16,32,1комн.,38.59,5106000
2-122,2,16,32,2комн.,63.24,8052900
2-123,2,16,32,2комн.,64.5,8213300
2-124,2,16,32,3комн.,86.25,10604300
2-125,2,16,32,1комн.,38.8,5110600
2-126,2,16,32,1комн.,38.79,5109200
2-127,2,18,32,2комн.,58.34,7411500
2-128,2,18,32,2комн.,68.64,8843100
2-129,2,18,32,2комн.,60.66,7742500
2-130,2,18,32,1комн.,38.59,5117500
2-131,2,18,32,2комн.,63.24,8071800
2-132,2,18,32,2комн.,64.5,8232600
2-133,2,18,32,3комн.,86.25,10630100
2-134,2,18,32,1комн.,38.8,5122200
2-135,2,18,32,1комн.,38.79,5120800
2-136,2,19,32,2комн.,58.34,7414900
2-137,2,19,32,2комн.,68.64,8847200
2-138,2,19,32,2комн.,60.66,7746100
2-139,2,19,32,1комн.,38.59,5119800
2-14,2,4,32,2комн.,63.24,7890200
2-140,2,19,32,2комн.,63.24,8075500
2-141,2,19,32,2комн.,64.5,8236400
2-142,2,19,32,3комн.,86.25,10635300
2-143,2,19,32,1комн.,38.8,5124500
2-144,2,19,32,1комн.,38.79,5123200
2-145,2,20,32,2комн.,58.34,7418400
2-146,2,20,32,2комн.,68.64,8851300
2-147,2,20,32,2комн.,60.66,7749700
2-148,2,20,32,1комн.,38.59,5122100
2-149,2,20,32,2комн.,63.24,8079300
2-15,2,4,32,2комн.,64.5,8047500
2-151,2,20,32,3комн.,86.25,10640400
2-152,2,20,32,1комн.,38.8,5126800
2-153,2,20,32,1комн.,38.79,5125500
2-154,2,21,32,2комн.,58.34,7421900
2-155,2,21,32,2комн.,68.64,8855400
2-156,2,21,32,2комн.,60.66,7753300
2-157,2,21,32,1комн.,38.59,5124400
2-158,2,21,32,2комн.,63.24,8083100
