building,floor,height,rooms,rowid,square,price
1-3,1,3,32,1комн.,39.69,4854400
1-9,1,4,32,1комн.,39.69,4856700
1-15,1,5,32,1комн.,39.69,4858900
1-21,1,6,32,1комн.,39.69,4861200
1-171,1,32,32,1комн.,39.69,7200400
1-170,1,32,32,1комн.,40.03,7262100
1-173,1,32,32,1комн.,40.04,7263900
1-4,1,3,32,2комн.,62.36,7334600
1-10,1,4,32,2комн.,62.36,7338100
1-16,1,5,32,2комн.,62.36,7341600
1-22,1,6,32,2комн.,62.36,7345100
1-28,1,7,32,2комн.,62.36,7348600
1-34,1,8,32,2комн.,62.36,7352200
1-40,1,9,32,2комн.,62.36,7355700
1-5,1,3,32,2комн.,62.65,7368700
1-11,1,4,32,2комн.,62.65,7372200
1-17,1,5,32,2комн.,62.65,7375700
1-23,1,6,32,2комн.,62.65,7379300
1-29,1,7,32,2комн.,62.65,7382800
1-35,1,8,32,2комн.,62.65,7386300
1-46,1,10,32,2комн.,62.36,7433000
1-47,1,10,32,2комн.,62.65,7467600
1-2,1,3,32,2комн.,65.53,7707400
1-8,1,4,32,2комн.,65.53,7711100
1-14,1,5,32,2комн.,65.53,7714800
1-20,1,6,32,2комн.,65.53,7718500
1-26,1,7,32,2комн.,65.53,7722200
1-32,1,8,32,2комн.,65.53,7725900
1-38,1,9,32,2комн.,65.53,7729600
1-44,1,10,32,2комн.,65.53,7810900
1-7,1,4,32,3комн.,79.41,8970900
1-6,1,3,32,3комн.,86.83,9853200
1-12,1,4,32,3комн.,86.83,9858100
1-18,1,5,32,3комн.,86.83,9863000
1-24,1,6,32,3комн.,86.83,9867900
1-30,1,7,32,3комн.,86.83,9872800
1-36,1,8,32,3комн.,86.83,10024600
1-42,1,9,32,3комн.,86.83,10029500
1-172,1,32,32,2комн.,62.36,11020500
1-169,1,32,32,4комн.,101.67,17202600
1-174,1,32,32,4комн.,106.54,18026600
2-31,2,6,32,1комн.,38.59,4726400
2-40,2,7,32,1комн.,38.59,4728600
2-49,2,8,32,1комн.,38.59,4730800
2-9,2,3,32,1комн.,38.79,4744400
2-8,2,3,32,1комн.,38.8,4745600
2-18,2,4,32,1комн.,38.79,4746600
2-17,2,4,32,1комн.,38.8,4747800
2-27,2,5,32,1комн.,38.79,4748700
2-26,2,5,32,1комн.,38.8,4750000
2-36,2,6,32,1комн.,38.79,4750900
2-35,2,6,32,1комн.,38.8,4752200
2-45,2,7,32,1комн.,38.79,4753100
2-44,2,7,32,1комн.,38.8,4754300
2-54,2,8,32,1комн.,38.79,4755300
2-53,2,8,32,1комн.,38.8,4756500
2-63,2,9,32,1комн.,38.79,4757500
2-62,2,9,32,1комн.,38.8,4758700
2-71,2,10,32,1комн.,38.8,4763100
2-1,2,3,32,2комн.,58.34,6861800
2-10,2,4,32,2комн.,58.34,6865000
2-19,2,5,32,2комн.,58.34,6868300
2-256,2,32,32,1комн.,38.59,6870300
2-28,2,6,32,2комн.,58.34,6871600
2-37,2,7,32,2комн.,58.34,6874900
2-46,2,8,32,2комн.,58.34,6878200
2-261,2,32,32,1комн.,38.79,6884000
2-260,2,32,32,1комн.,38.8,6885800
2-64,2,10,32,2комн.,58.34,6888100
2-3,2,3,32,2комн.,60.66,7134600
2-12,2,4,32,2комн.,60.66,7138000
2-30,2,6,32,2комн.,60.66,7144900
2-39,2,7,32,2комн.,60.66,7148300
2-48,2,8,32,2комн.,60.66,7151700
2-57,2,9,32,2комн.,60.66,7155100
2-66,2,10,32,2комн.,60.66,7162000
2-5,2,3,32,2комн.,63.24,7438100
2-14,2,4,32,2комн.,63.24,7441600
2-23,2,5,32,2комн.,63.24,7445200
2-32,2,6,32,2комн.,63.24,7448800
2-41,2,7,32,2комн.,63.24,7452300
2-50,2,8,32,2комн.,63.24,7455900
2-59,2,9,32,2комн.,63.24,7459500
2-68,2,10,32,2комн.,63.24,7466600
2-6,2,3,32,2комн.,64.5,7586300
2-15,2,4,32,2комн.,64.5,7589900
2-24,2,5,32,2комн.,64.5,7593500
2-33,2,6,32,2комн.,64.5,7597200
2-42,2,7,32,2комн.,64.5,7600800
2-51,2,8,32,2комн.,64.5,7604500
2-60,2,9,32,2комн.,64.5,7608100
2-69,2,10,32,2комн.,64.5,7615400
2-2,2,3,32,2комн.,68.64,8150600
2-11,2,4,32,2комн.,68.64,8154500
2-20,2,5,32,2комн.,68.64,8158400
2-29,2,6,32,2комн.,68.64,8162200
2-38,2,7,32,2комн.,68.64,8166100
2-47,2,8,32,2комн.,68.64,8170000
2-65,2,10,32,2комн.,68.64,8181600
2-7,2,3,32,3комн.,86.25,9787400
2-16,2,4,32,3комн.,86.25,9792200
2-34,2,6,32,3комн.,86.25,9802000
2-43,2,7,32,3комн.,86.25,9806800
2-253,2,32,32,2комн.,58.34,10079700
2-255,2,32,32,2комн.,60.66,10514800
2-257,2,32,32,2комн.,63.24,10962000
2-258,2,32,32,2комн.,64.5,11180400
2-254,2,32,32,2комн.,68.64,11975500
2-259,2,32,32,3комн.,86.25,14593500
3-5,3,3,32,1комн.,40.73,4981600
3-13,3,4,32,1комн.,40.73,4983900
3-21,3,5,32,1комн.,40.73,4986200
3-29,3,6,32,1комн.,40.73,4988500
3-37,3,7,32,1комн.,40.73,4990800
3-45,3,8,32,1комн.,40.73,4993100
3-53,3,9,32,1комн.,40.73,4995400
3-4,3,3,32,1комн.,40.88,5000000
3-12,3,4,32,1комн.,40.88,5002300
3-20,3,5,32,1комн.,40.88,5004600
3-28,3,6,32,1комн.,40.88,5006900
3-36,3,7,32,1комн.,40.88,5009200
3-44,3,8,32,1комн.,40.88,5011500
3-52,3,9,32,1комн.,40.88,5013800
3-3,3,3,32,1комн.,41.96,5132100
3-11,3,4,32,1комн.,41.96,5134500
3-27,3,6,32,1комн.,41.96,5139200
3-35,3,7,32,1комн.,41.96,5141600
3-43,3,8,32,1комн.,41.96,5143900
3-8,3,3,32,2комн.,58.58,6890000
3-16,3,4,32,2комн.,58.58,6893300
3-24,3,5,32,2комн.,58.58,6896600
3-32,3,6,32,2комн.,58.58,6899900
3-48,3,8,32,2комн.,58.58,6906500
3-56,3,9,32,2комн.,58.58,6909800
3-64,3,10,32,2комн.,58.58,6982500
3-1,3,3,32,2комн.,60.9,7162900
3-9,3,4,32,2комн.,60.9,7166300
3-17,3,5,32,2комн.,60.9,7169700
3-25,3,6,32,2комн.,60.9,7173200
3-33,3,7,32,2комн.,60.9,7176600
3-41,3,8,32,2комн.,60.9,7180000
3-49,3,9,32,2комн.,60.9,7183500
3-215,3,32,32,1комн.,40.73,7251300
3-57,3,10,32,2комн.,60.9,7259000
3-214,3,32,32,1комн.,40.88,7278000
3-213,3,32,32,1комн.,41.96,7470200
3-6,3,3,32,2комн.,65.33,7683900
3-14,3,4,32,2комн.,65.33,7687600
3-22,3,5,32,2комн.,65.33,7691300
3-30,3,6,32,2комн.,65.33,7694900
3-38,3,7,32,2комн.,65.33,7698600
3-46,3,8,32,2комн.,65.33,7702300
3-54,3,9,32,2комн.,65.33,7706000
3-62,3,10,32,2комн.,65.33,7787100
3-7,3,3,32,3комн.,88.11,9998400
3-15,3,4,32,3комн.,88.11,10003400
3-23,3,5,32,3комн.,88.11,10008400
3-31,3,6,32,3комн.,88.11,10013300
3-39,3,7,32,3комн.,88.11,10018300
3-47,3,8,32,3комн.,88.11,10023300
3-55,3,9,32,3комн.,88.11,10028300
3-63,3,10,32,3комн.,88.11,10137600
3-2,3,3,32,3комн.,90.49,10268500
3-10,3,4,32,3комн.,90.49,10273600
3-18,3,5,32,3комн.,90.49,10278700
3-26,3,6,32,3комн.,90.49,10283800
3-34,3,7,32,3комн.,90.49,10288900
3-42,3,8,32,3комн.,90.49,10294000
3-50,3,9,32,3комн.,90.49,10299100
3-58,3,10,32,3комн.,90.49,10411400
3-211,3,32,32,2комн.,60.9,10522000
3-217,3,32,32,2комн.,63.93,11045600
3-216,3,32,32,2комн.,69.36,12022900
3-212,3,32,32,3комн.,90.49,15310900
4-5,4,3,23,1комн.,40.66,4973100
4-13,4,4,23,1комн.,40.66,4975400
4-21,4,5,23,1комн.,40.66,4977700
4-29,4,6,23,1комн.,40.66,4980000
4-45,4,8,23,1комн.,40.66,4984600
4-53,4,9,23,1комн.,40.66,4986800
4-4,4,3,23,1комн.,40.81,4991400
4-12,4,4,23,1комн.,40.81,4993700
4-20,4,5,23,1комн.,40.81,4996000
4-28,4,6,23,1комн.,40.81,4998300
4-36,4,7,23,1комн.,40.81,5000600
4-44,4,8,23,1комн.,40.81,5002900
4-52,4,9,23,1комн.,40.81,5005200
4-3,4,3,23,1комн.,41.61,5089300
4-11,4,4,23,1комн.,41.61,5091600
4-19,4,5,23,1комн.,41.61,5094000
4-27,4,6,23,1комн.,41.61,5096300
4-43,4,8,23,1комн.,41.61,5101000
4-8,4,3,23,2комн.,58.66,6899400
4-16,4,4,23,2комн.,58.66,6902700
4-24,4,5,23,2комн.,58.66,6906000
4-32,4,6,23,2комн.,58.66,6909300
