rowid,building,floor,height,rooms,square,price
2-1,2,3,32,2комн.,58.34,7597700
2-104,2,14,32,2комн.,63.24,8283300
2-105,2,14,32,2комн.,64.5,8448300
2-107,2,14,32,1комн.,38.8,5283700
2-11,2,4,32,2комн.,68.64,9029100
2-113,2,15,32,2комн.,63.24,8287200
2-116,2,15,32,1комн.,38.8,5286100
2-117,2,15,32,1комн.,38.79,5284700
2-118,2,16,32,2комн.,58.34,7721600
2-12,2,4,32,2комн.,60.66,7903700
2-122,2,16,32,2комн.,63.24,8409600
2-123,2,16,32,2комн.,64.5,8577200
2-125,2,16,32,1комн.,38.8,5337000
2-126,2,16,32,1комн.,38.79,5335600
2-127,2,18,32,2комн.,58.34,7739800
2-128,2,18,32,2комн.,68.64,9234900
2-129,2,18,32,2комн.,60.66,8085500
2-131,2,18,32,2комн.,63.24,8429400
2-132,2,18,32,2комн.,64.5,8597300
2-133,2,18,32,3комн.,86.25,11101100
2-134,2,18,32,1комн.,38.8,5349100
2-135,2,18,32,1комн.,38.79,5347700
2-136,2,19,32,2комн.,58.34,7743500
2-137,2,19,32,2комн.,68.64,9239200
2-144,2,19,32,1комн.,38.79,5350100
2-145,2,20,32,2комн.,58.34,7747100
2-149,2,20,32,2комн.,63.24,8437300
2-15,2,4,32,2комн.,64.5,8404000
2-151,2,20,32,3комн.,86.25,11111900
2-152,2,20,32,1комн.,38.8,5353900
2-153,2,20,32,1комн.,38.79,5352600
2-155,2,21,32,2комн.,68.64,9247800
2-156,2,21,32,2комн.,60.66,8096900
2-159,2,21,32,2комн.,64.5,8609400
2-160,2,21,32,3комн.,86.25,11117300
2-161,2,21,32,1комн.,38.8,5356400
2-162,2,21,32,1комн.,38.79,5355000
2-17,2,4,32,1комн.,38.8,5257000
2-170,2,22,32,1комн.,38.8,5358800
2-171,2,22,32,1комн.,38.79,5357400
2-172,2,23,32,2комн.,58.34,8865600
2-173,2,23,32,2комн.,68.64,10559400
2-174,2,23,32,2комн.,60.66,9256000
2-175,2,23,32,1комн.,38.59,6088900
2-176,2,23,32,2комн.,63.24,9649700
2-177,2,23,32,2комн.,64.5,9842000
2-178,2,23,32,3комн.,86.25,12765500
2-179,2,23,32,1комн.,38.8,6097800
2-18,2,4,32,1комн.,38.79,5255700
2-180,2,23,32,1комн.,38.79,6096300
2-181,2,24,32,2комн.,58.34,8977800
2-182,2,24,32,2комн.,68.64,10691500
2-183,2,24,32,2комн.,60.66,9372700
2-184,2,24,32,1комн.,38.59,6163100
2-185,2,24,32,2комн.,63.24,9771400
2-186,2,24,32,2комн.,64.5,9966100
2-187,2,24,32,3комн.,86.25,12931400
2-188,2,24,32,1комн.,38.8,6172400
2-189,2,24,32,1комн.,38.79,6170900
2-190,2,25,32,2комн.,58.34,9090000
2-191,2,25,32,2комн.,68.64,10823500
2-192,2,25,32,2комн.,60.66,9489400
2-193,2,25,32,1комн.,38.59,6237400
2-194,2,25,32,2комн.,63.24,9893000
2-195,2,25,32,2комн.,64.5,10090100
2-196,2,25,32,3комн.,86.25,13097200
2-197,2,25,32,1комн.,38.8,6247100
2-198,2,25,32,1комн.,38.79,6245500
2-199,2,26,32,2комн.,58.34,9238700
2-2,2,3,32,2комн.,68.64,9024900
2-20,2,5,32,2комн.,68.64,9033400
2-200,2,26,32,2комн.,68.64,10998400
2-201,2,26,32,2комн.,60.66,9644000
2-202,2,26,32,1комн.,38.59,6335700
2-203,2,26,32,2комн.,63.24,10054100
2-204,2,26,32,2комн.,64.5,10254500
2-205,2,26,32,3комн.,86.25,13317000
2-206,2,26,32,1комн.,38.8,6345900
