rowid,building,floor,height,rooms,square,price
1-10,1,4,32,2комн.,62.36,9302800
1-11,1,4,32,2комн.,62.65,9346000
1-118,1,23,32,2комн.,62.36,9971700
1-12,1,4,32,3комн.,86.83,13365000
1-124,1,24,32,2комн.,62.36,10096100
1-129,1,25,32,1комн.,39.69,7018400
1-131,1,25,32,1комн.,40.04,7080300
1-134,1,26,32,1комн.,40.03,7186000
1-135,1,26,32,1комн.,39.69,7125000
1-136,1,26,32,2комн.,62.36,10427100
1-137,1,26,32,1комн.,40.04,7187800
1-14,1,5,32,2комн.,65.53,9775700
1-152,1,29,32,1комн.,40.03,7428100
1-153,1,29,32,1комн.,39.69,7365000
1-154,1,29,32,2комн.,62.36,10804200
1-155,1,29,32,1комн.,40.04,7430000
1-157,1,30,32,4комн.,101.67,17415900
1-158,1,30,32,1комн.,40.03,7505400
1-159,1,30,32,1комн.,39.69,7441700
1-16,1,5,32,2комн.,62.36,9302800
1-160,1,30,32,2комн.,62.36,10924700
1-161,1,30,32,1комн.,40.04,7507300
1-163,1,31,32,4комн.,101.67,17612300
1-164,1,31,32,1комн.,40.03,7582800
1-165,1,31,32,1комн.,39.69,7518400
1-166,1,31,32,2комн.,62.36,11045200
1-167,1,31,32,1комн.,40.04,7584700
1-168,1,31,32,4комн.,106.54,18456000
1-169,1,32,32,4комн.,101.67,17864900
1-17,1,5,32,2комн.,62.65,9346000
1-170,1,32,32,1комн.,40.03,7682200
1-171,1,32,32,1комн.,39.69,7617000
1-172,1,32,32,2комн.,62.36,11200100
1-173,1,32,32,1комн.,40.04,7684200
1-2,1,3,32,2комн.,65.53,9771600
1-20,1,6,32,2комн.,65.53,9775700
1-22,1,6,32,2комн.,62.36,9302800
1-23,1,6,32,2комн.,62.65,9346000
1-28,1,7,32,2комн.,62.36,9302800
1-29,1,7,32,2комн.,62.65,9346000
1-32,1,8,32,2комн.,65.53,9796200
1-4,1,3,32,2комн.,62.36,9298900
1-44,1,10,32,2комн.,65.53,10090600
1-5,1,3,32,2комн.,62.65,9342100
1-50,1,11,32,2комн.,65.53,10094700
1-56,1,12,32,2комн.,65.53,10098800
1-6,1,3,32,3комн.,86.83,13359500
1-62,1,13,32,2комн.,65.53,10103700
1-70,1,14,32,2комн.,62.36,9621200
1-74,1,15,32,2комн.,65.53,10116900
1-8,1,4,32,2комн.,65.53,9775700
1-80,1,16,32,2комн.,65.53,10121000
1-86,1,17,32,2комн.,65.53,10180200
2-134,2,18,32,1комн.,38.8,6494000
2-135,2,18,32,1комн.,38.79,6492300
2-150,2,20,32,2комн.,64.5,10046100
2-180,2,23,32,1комн.,38.79,6616900
2-185,2,24,32,2комн.,63.24,10171200
2-188,2,24,32,1комн.,38.8,6693600
2-189,2,24,32,1комн.,38.79,6691900
2-194,2,25,32,2комн.,63.24,10293300
2-197,2,25,32,1комн.,38.8,6768600
2-198,2,25,32,1комн.,38.79,6766800
2-199,2,26,32,2комн.,58.34,9608500
2-2,2,3,32,2комн.,68.64,10333500
2-200,2,26,32,2комн.,68.64,11434100
2-203,2,26,32,2комн.,63.24,10455200
2-204,2,26,32,2комн.,64.5,10663500
2-205,2,26,32,3комн.,86.25,14637000
2-207,2,26,32,1комн.,38.79,6866100
2-226,2,29,32,2комн.,58.34,9946700
2-227,2,29,32,2комн.,68.64,11832000
2-228,2,29,32,2комн.,60.66,10380300
2-229,2,29,32,1комн.,38.59,7078600
2-230,2,29,32,2комн.,63.24,10821800
2-231,2,29,32,2комн.,64.5,11037400
2-232,2,29,32,3комн.,86.25,15137000
2-233,2,29,32,1комн.,38.8,7092800
2-234,2,29,32,1комн.,38.79,7090900
2-235,2,30,32,2комн.,58.34,10059400
2-236,2,30,32,2комн.,68.64,11964600
2-237,2,30,32,2комн.,60.66,10497500
2-238,2,30,32,1комн.,38.59,7153100
2-239,2,30,32,2комн.,63.24,10944000
2-240,2,30,32,2комн.,64.5,11162000
2-241,2,30,32,3комн.,86.25,15303600
2-242,2,30,32,1комн.,38.8,7167700
2-243,2,30,32,1комн.,38.79,7165900
2-244,2,31,32,2комн.,58.34,10172100
2-245,2,31,32,2комн.,68.64,12097200
2-246,2,31,32,2комн.,60.66,10614700
2-247,2,31,32,1комн.,38.59,7227700
2-248,2,31,32,2комн.,63.24,11066200
2-249,2,31,32,2комн.,64.5,11286600
2-250,2,31,32,3комн.,86.25,15470300
2-251,2,31,32,1комн.,38.8,7242700
2-252,2,31,32,1комн.,38.79,7240800
2-253,2,32,32,2комн.,58.34,10397600
2-254,2,32,32,2комн.,68.64,12362500
2-255,2,32,32,2комн.,60.66,10849100
2-256,2,32,32,1комн.,38.59,7376800
2-257,2,32,32,2комн.,63.24,11310500
2-258,2,32,32,2комн.,64.5,11535900
2-259,2,32,32,3комн.,86.25,15803600
2-260,2,32,32,1комн.,38.8,7392600
2-261,2,32,32,1комн.,38.79,7390700
2-29,2,6,32,2комн.,68.64,10337800
2-8,2,3,32,1комн.,38.8,6386900
3-1,3,3,32,2комн.,60.9,9087300
3-101,3,15,32,1комн.,40.73,6818500
3-109,3,16,32,1комн.,40.73,6827200
3-130,3,20,32,1комн.,40.88,6903700
3-133,3,20,32,2комн.,63.93,9966100
3-138,3,21,32,1комн.,40.73,6881400
3-145,3,22,32,1комн.,40.73,6884500
3-15,3,4,32,3комн.,88.11,13806300
3-151,3,23,32,1комн.,40.88,6972900
3-154,3,23,32,2комн.,63.93,10114500
3-157,3,24,32,1комн.,41.96,7241400
3-158,3,24,32,1комн.,40.88,7055000
3-159,3,24,32,1комн.,40.73,7029100
3-161,3,24,32,2комн.,63.93,10242800
3-162,3,25,32,2комн.,60.9,9879600
3-164,3,25,32,1комн.,41.96,7325600
3-165,3,25,32,1комн.,40.88,7137000
3-166,3,25,32,1комн.,40.73,7110900
3-168,3,25,32,2комн.,63.93,10371200
3-169,3,26,32,2комн.,60.9,10001900
3-17,3,5,32,2комн.,60.9,9094900
3-170,3,26,32,3комн.,90.49,15319100
3-171,3,26,32,1комн.,41.96,7436200
3-172,3,26,32,1комн.,40.88,7244800
3-173,3,26,32,1комн.,40.73,7218200
3-174,3,26,32,2комн.,69.36,11434800
3-175,3,26,32,2комн.,63.93,10499500
3-187,3,28,32,1комн.,40.73,6818000
3-190,3,29,32,2комн.,60.9,10368600
3-191,3,29,32,3комн.,90.49,15864100
3-192,3,29,32,1комн.,41.96,7688800
3-193,3,29,32,1комн.,40.88,7490900
3-194,3,29,32,1комн.,40.73,7463500
3-195,3,29,32,2комн.,69.36,11852500
3-197,3,30,32,2комн.,60.9,10490900
3-198,3,30,32,3комн.,90.49,16045700
3-199,3,30,32,1комн.,41.96,7773100
3-2,3,3,32,3комн.,90.49,14173600
3-200,3,30,32,1комн.,40.88,7573000
3-201,3,30,32,1комн.,40.73,7545200
3-202,3,30,32,2комн.,69.36,11991800
3-203,3,30,32,2комн.,63.93,11012800
3-204,3,31,32,2комн.,60.9,10613100
3-205,3,31,32,3комн.,90.49,16227400
3-206,3,31,32,1комн.,41.96,7857300
3-207,3,31,32,1комн.,40.88,7655100
3-208,3,31,32,1комн.,40.73,7627000
3-209,3,31,32,2комн.,69.36,12131000
3-210,3,31,32,2комн.,63.93,11141200
3-211,3,32,32,2комн.,60.9,10796500
3-212,3,32,32,3комн.,90.49,16499900
3-213,3,32,32,1комн.,41.96,7983700
3-214,3,32,32,1комн.,40.88,7778200
3-215,3,32,32,1комн.,40.73,7749600
3-216,3,32,32,2комн.,69.36,12339800
3-217,3,32,32,2комн.,63.93,11333700
3-25,3,6,32,2комн.,60.9,9098700
3-29,3,6,32,1комн.,40.73,6735800
3-3,3,3,32,1комн.,41.96,6931300
3-31,3,6,32,3комн.,88.11,13817400
3-33,3,7,32,2комн.,60.9,9103300
