rowid,building,floor,height,rooms,square,price
2-1,2,3,32,2комн.,58.34,7924200
2-104,2,14,32,2комн.,63.24,8637100
2-105,2,14,32,2комн.,64.5,8809200
2-11,2,4,32,2комн.,68.64,9413200
2-113,2,15,32,2комн.,63.24,8641100
2-116,2,15,32,1комн.,38.8,5503200
2-117,2,15,32,1комн.,38.79,5501800
2-122,2,16,32,2комн.,63.24,8763500
2-123,2,16,32,2комн.,64.5,8938100
2-124,2,16,32,3комн.,86.25,11556800
2-125,2,16,32,1комн.,38.8,5554100
2-126,2,16,32,1комн.,38.79,5552700
2-127,2,18,32,2комн.,58.34,8066300
2-128,2,18,32,2комн.,68.64,9619000
2-131,2,18,32,2комн.,63.24,8783300
2-132,2,18,32,2комн.,64.5,8958300
2-134,2,18,32,1комн.,38.8,5566200
2-135,2,18,32,1комн.,38.79,5564800
2-136,2,19,32,2комн.,58.34,8069900
2-137,2,19,32,2комн.,68.64,9623300
2-144,2,19,32,1комн.,38.79,5567200
2-145,2,20,32,2комн.,58.34,8073600
2-149,2,20,32,2комн.,63.24,8791200
2-15,2,4,32,2комн.,64.5,8764900
2-152,2,20,32,1комн.,38.8,5571100
2-153,2,20,32,1комн.,38.79,5569600
2-155,2,21,32,2комн.,68.64,9631800
2-156,2,21,32,2комн.,60.66,8436300
2-159,2,21,32,2комн.,64.5,8970300
2-160,2,21,32,3комн.,86.25,11599900
2-161,2,21,32,1комн.,38.8,5573500
2-162,2,21,32,1комн.,38.79,5572000
2-17,2,4,32,1комн.,38.8,5474100
2-170,2,22,32,1комн.,38.8,5575900
2-171,2,22,32,1комн.,38.79,5574500
2-172,2,23,32,2комн.,58.34,9192100
2-173,2,23,32,2комн.,68.64,10943500
2-174,2,23,32,2комн.,60.66,9595500
2-175,2,23,32,1комн.,38.59,6304800
2-176,2,23,32,2комн.,63.24,10003600
2-177,2,23,32,2комн.,64.5,10202900
2-178,2,23,32,3комн.,86.25,13248100
2-179,2,23,32,1комн.,38.8,6314900
2-18,2,4,32,1комн.,38.79,5472700
2-180,2,23,32,1комн.,38.79,6313300
2-181,2,24,32,2комн.,58.34,9304300
2-182,2,24,32,2комн.,68.64,11075500
2-183,2,24,32,2комн.,60.66,9712100
2-184,2,24,32,1комн.,38.59,6379100
2-185,2,24,32,2комн.,63.24,10125200
2-186,2,24,32,2комн.,64.5,10327000
2-187,2,24,32,3комн.,86.25,13414000
2-188,2,24,32,1комн.,38.8,6389600
2-189,2,24,32,1комн.,38.79,6387900
2-190,2,25,32,2комн.,58.34,9416500
2-191,2,25,32,2комн.,68.64,11207600
2-192,2,25,32,2комн.,60.66,9828800
2-193,2,25,32,1комн.,38.59,6453300
2-194,2,25,32,2комн.,63.24,10246900
2-195,2,25,32,2комн.,64.5,10451000
2-196,2,25,32,3комн.,86.25,13579900
2-197,2,25,32,1комн.,38.8,6464200
2-198,2,25,32,1комн.,38.79,6462500
2-199,2,26,32,2комн.,58.34,9565100
2-2,2,3,32,2комн.,68.64,9408900
2-20,2,5,32,2комн.,68.64,9417500
2-200,2,26,32,2комн.,68.64,11382500
2-201,2,26,32,2комн.,60.66,9983400
2-202,2,26,32,1комн.,38.59,6551600
2-203,2,26,32,2комн.,63.24,10408000
2-204,2,26,32,2комн.,64.5,10615400
2-205,2,26,32,3комн.,86.25,13799600
2-206,2,26,32,1комн.,38.8,6563000
2-207,2,26,32,1комн.,38.79,6561400
2-208,2,27,32,2комн.,58.34,9677300
2-209,2,27,32,2комн.,68.64,11514500
2-21,2,5,32,2комн.,60.66,8246900
2-210,2,27,32,2комн.,60.66,10100100
2-211,2,27,32,1комн.,38.59,6625900
2-212,2,27,32,2комн.,63.24,10529600
2-213,2,27,32,2комн.,64.5,10739400
2-214,2,27,32,3комн.,86.25,13965500
2-215,2,27,32,1комн.,38.8,6637700
2-216,2,27,32,1комн.,38.79,6636000
2-217,2,28,32,2комн.,58.34,9789600
2-218,2,28,32,2комн.,68.64,11646500
2-219,2,28,32,2комн.,60.66,10216700
2-220,2,28,32,1комн.,38.59,6700100
2-221,2,28,32,2комн.,63.24,10651300
2-222,2,28,32,2комн.,64.5,10863500
2-223,2,28,32,3комн.,86.25,14131400
2-224,2,28,32,1комн.,38.8,6712300
2-225,2,28,32,1комн.,38.79,6710600
2-226,2,29,32,2комн.,58.34,9901800
2-227,2,29,32,2комн.,68.64,11778500
2-228,2,29,32,2комн.,60.66,10333400
2-229,2,29,32,1комн.,38.59,6774300
2-23,2,5,32,2комн.,63.24,8597600
2-230,2,29,32,2комн.,63.24,10772900
2-231,2,29,32,2комн.,64.5,10987600
2-232,2,29,32,3комн.,86.25,14297300
2-233,2,29,32,1комн.,38.8,6786900
2-234,2,29,32,1комн.,38.79,6785200
2-235,2,30,32,2комн.,58.34,10014000
2-236,2,30,32,2комн.,68.64,11910600
2-237,2,30,32,2комн.,60.66,10450100
2-238,2,30,32,1комн.,38.59,6848500
2-239,2,30,32,2комн.,63.24,10894600
2-240,2,30,32,2комн.,64.5,11111600
2-241,2,30,32,3комн.,86.25,14463200
2-242,2,30,32,1комн.,38.8,6861600
2-243,2,30,32,1комн.,38.79,6859800
2-244,2,31,32,2комн.,58.34,10126200
2-245,2,31,32,2комн.,68.64,12042600
2-246,2,31,32,2комн.,60.66,10566800
2-247,2,31,32,1комн.,38.59,6922800
2-248,2,31,32,2комн.,63.24,11016200
2-249,2,31,32,2комн.,64.5,11235700
2-250,2,31,32,3комн.,86.25,14629100
2-251,2,31,32,1комн.,38.8,6936200
2-252,2,31,32,1комн.,38.79,6934400
2-253,2,32,32,2комн.,58.34,10350600
2-254,2,32,32,2комн.,68.64,12306600
2-255,2,32,32,2комн.,60.66,10800100
2-256,2,32,32,1комн.,38.59,7071200
2-257,2,32,32,2комн.,63.24,11259500
2-258,2,32,32,2комн.,64.5,11483800
2-259,2,32,32,3комн.,86.25,14960900
2-260,2,32,32,1комн.,38.8,7085400
2-261,2,32,32,1комн.,38.79,7083600
2-27,2,5,32,1комн.,38.79,5475100
2-29,2,6,32,2комн.,68.64,9421800
2-3,2,3,32,2комн.,60.66,8239300
2-33,2,6,32,2комн.,64.5,8773000
2-37,2,7,32,2комн.,58.34,7938800
2-38,2,7,32,2комн.,68.64,9426100
2-44,2,7,32,1комн.,38.8,5481400
2-48,2,8,32,2комн.,60.66,8258200
2-5,2,3,32,2комн.,63.24,8589700
2-73,2,11,32,2комн.,58.34,7957000
2-8,2,3,32,1комн.,38.8,5471700
2-82,2,12,32,2комн.,58.34,7960600
2-9,2,3,32,1комн.,38.79,5470300
2-92,2,13,32,2комн.,68.64,9456100
2-95,2,13,32,2комн.,63.24,8633200
2-96,2,13,32,2комн.,64.5,8805200
2-98,2,13,32,1комн.,38.8,5498400
2-99,2,13,32,1комн.,38.79,5496900
