building,floor,height,rooms,rowid,square,price
1-100,1,20,32,2комн.,62.36,8319900
1-101,1,20,32,1комн.,40.04,5550100
1-10,1,4,32,2комн.,62.36,8125200
1-109,1,22,32,4комн.,101.67,12730200
1-11,1,4,32,2комн.,62.65,8163000
1-115,1,23,32,4комн.,101.67,14768300
1-116,1,23,32,1комн.,40.03,6356100
1-117,1,23,32,1комн.,39.69,6302100
1-118,1,23,32,2комн.,62.36,9577800
1-119,1,23,32,1комн.,40.04,6357700
1-121,1,24,32,4комн.,101.67,14970200
1-12,1,4,32,3комн.,86.83,10915500
1-122,1,24,32,1комн.,40.03,6435600
1-123,1,24,32,1комн.,39.69,6381000
1-124,1,24,32,2комн.,62.36,9701600
1-125,1,24,32,1комн.,40.04,6437200
1-126,1,24,32,4комн.,106.54,15687300
1-127,1,25,32,4комн.,101.67,15235600
1-128,1,25,32,1комн.,40.03,6540100
1-129,1,25,32,1комн.,39.69,6484600
1-131,1,25,32,1комн.,40.04,6541800
1-132,1,25,32,4комн.,106.54,15965400
1-133,1,26,32,4комн.,101.67,15507400
1-134,1,26,32,1комн.,40.03,6647100
1-135,1,26,32,1комн.,39.69,6590700
1-136,1,26,32,2комн.,62.36,10031100
1-137,1,26,32,1комн.,40.04,6648800
1-138,1,26,32,4комн.,106.54,16250200
1-139,1,27,32,4комн.,101.67,15728300
1-140,1,27,32,1комн.,40.03,6734100
1-141,1,27,32,1комн.,39.69,6676900
1-14,1,5,32,2комн.,65.53,8542300
1-142,1,27,32,2комн.,62.36,10166600
1-143,1,27,32,1комн.,40.04,6735800
1-144,1,27,32,4комн.,106.54,16481700
1-145,1,28,32,4комн.,101.67,15923900
1-146,1,28,32,1комн.,40.03,6811100
1-147,1,28,32,1комн.,39.69,6753200
1-148,1,28,32,2комн.,62.36,10286500
1-149,1,28,32,1комн.,40.04,6812800
1-150,1,28,32,4комн.,106.54,16686600
1-151,1,29,32,4комн.,101.67,16119400
1-152,1,29,32,1комн.,40.03,6888100
1-153,1,29,32,1комн.,39.69,6829600
1-154,1,29,32,2комн.,62.36,10406500
1-155,1,29,32,1комн.,40.04,6889800
1-156,1,29,32,4комн.,106.54,16891600
1-157,1,30,32,4комн.,101.67,16315000
1-158,1,30,32,1комн.,40.03,6965100
1-159,1,30,32,1комн.,39.69,6905900
1-160,1,30,32,2комн.,62.36,10526400
1-161,1,30,32,1комн.,40.04,6966800
1-16,1,5,32,2комн.,62.36,8129100
1-162,1,30,32,4комн.,106.54,17096500
1-163,1,31,32,4комн.,101.67,16510600
1-164,1,31,32,1комн.,40.03,7042100
1-165,1,31,32,1комн.,39.69,6982300
