rowid,building,floor,height,rooms,square,price
3-1,3,3,32,2комн.,60.9,7931100
3-10,3,4,32,3комн.,90.49,11375600
3-100,3,15,32,1комн.,40.88,5620500
3-101,3,15,32,1комн.,40.73,5599900
3-102,3,15,32,2комн.,65.33,8642700
3-103,3,15,32,3комн.,88.11,11252500
3-105,3,16,32,2комн.,60.9,8060400
3-106,3,16,32,3комн.,90.49,11562100
3-108,3,16,32,1комн.,40.88,5623100
3-109,3,16,32,1комн.,40.73,5602500
3-110,3,16,32,2комн.,65.33,8646800
3-111,3,16,32,1комн.,47.06,6473200
3-112,3,16,32,2комн.,58.58,7753400
3-113,3,18,32,2комн.,60.9,8117500
3-115,3,18,32,1комн.,41.96,5811000
3-116,3,18,32,1комн.,40.88,5661400
3-117,3,18,32,1комн.,40.73,5640600
3-118,3,18,32,2комн.,69.36,9245100
3-12,3,4,32,1комн.,40.88,5538800
3-120,3,19,32,2комн.,60.9,8121300
3-121,3,19,32,3комн.,90.49,11652500
3-122,3,19,32,1комн.,41.96,5813600
3-123,3,19,32,1комн.,40.88,5663900
3-124,3,19,32,1комн.,40.73,5643200
3-126,3,19,32,2комн.,63.93,8525400
3-127,3,20,32,2комн.,60.9,8125100
3-129,3,20,32,1комн.,41.96,5816200
3-130,3,20,32,1комн.,40.88,5666500
3-131,3,20,32,1комн.,40.73,5645700
3-133,3,20,32,2комн.,63.93,8529400
3-134,3,21,32,2комн.,60.9,8128900
3-137,3,21,32,1комн.,40.88,5669000
3-138,3,21,32,1комн.,40.73,5648200
3-14,3,4,32,2комн.,65.33,8512100
3-140,3,21,32,2комн.,63.93,8533300
3-141,3,22,32,2комн.,60.9,8132700
3-143,3,22,32,1комн.,41.96,5821400
3-145,3,22,32,1комн.,40.73,5650800
3-146,3,22,32,2комн.,69.36,9262500
3-147,3,22,32,2комн.,63.93,8537300
3-148,3,23,32,2комн.,60.9,9266000
3-149,3,23,32,3комн.,90.49,13353400
3-15,3,4,32,3комн.,88.11,11076400
3-150,3,23,32,1комн.,41.96,6602300
3-151,3,23,32,1комн.,40.88,6432400
3-152,3,23,32,1комн.,40.73,6408800
3-153,3,23,32,2комн.,69.36,10553300
3-154,3,23,32,2комн.,63.93,9727100
3-155,3,24,32,2комн.,60.9,9387800
3-156,3,24,32,3комн.,90.49,13534300
3-157,3,24,32,1комн.,41.96,6686200
3-158,3,24,32,1комн.,40.88,6514100
3-159,3,24,32,1комн.,40.73,6490200
3-16,3,4,32,2комн.,58.58,7632700
3-160,3,24,32,2комн.,69.36,10691900
3-161,3,24,32,2комн.,63.93,9854800
3-162,3,25,32,2комн.,60.9,9509500
3-163,3,25,32,3комн.,90.49,13715100
3-164,3,25,32,1комн.,41.96,6770000
3-165,3,25,32,1комн.,40.88,6595800
3-166,3,25,32,1комн.,40.73,6571600
3-167,3,25,32,2комн.,69.36,10830500
3-168,3,25,32,2комн.,63.93,9982600
3-169,3,26,32,2комн.,60.9,9631200
3-17,3,5,32,2комн.,60.9,7938700
3-170,3,26,32,3комн.,90.49,13952500
3-171,3,26,32,1комн.,41.96,6880100
3-172,3,26,32,1комн.,40.88,6703000
3-173,3,26,32,1комн.,40.73,6678400
3-174,3,26,32,2комн.,69.36,11012400
3-175,3,26,32,2комн.,63.93,10110300
3-176,3,27,32,2комн.,60.9,9752900
3-177,3,27,32,3комн.,90.49,14133300
3-178,3,27,32,1комн.,41.96,6963900
3-179,3,27,32,1комн.,40.88,6784700
3-18,3,5,32,3комн.,90.49,11381200
3-180,3,27,32,1комн.,40.73,6759800
3-181,3,27,32,2комн.,69.36,11151000
3-182,3,27,32,2комн.,63.93,10238100
3-183,3,28,32,2комн.,60.9,9874600
3-184,3,28,32,3комн.,90.49,14314100
3-185,3,28,32,1комн.,41.96,7047800
3-186,3,28,32,1комн.,40.88,6866400
3-187,3,28,32,1комн.,40.73,6841200
3-188,3,28,32,2комн.,69.36,11289600
3-189,3,28,32,2комн.,63.93,10365900
3-190,3,29,32,2комн.,60.9,9996300
3-191,3,29,32,3комн.,90.49,14495000
3-192,3,29,32,1комн.,41.96,7131600
3-193,3,29,32,1комн.,40.88,6948100
3-194,3,29,32,1комн.,40.73,6922600
3-195,3,29,32,2комн.,69.36,11428200
3-196,3,29,32,2комн.,63.93,10493600
3-197,3,30,32,2комн.,60.9,10118000
3-198,3,30,32,3комн.,90.49,14675800
3-199,3,30,32,1комн.,41.96,7215500
3-2,3,3,32,3комн.,90.49,11369900
3-20,3,5,32,1комн.,40.88,5541400
3-200,3,30,32,1комн.,40.88,7029800
3-201,3,30,32,1комн.,40.73,7004000
3-202,3,30,32,2комн.,69.36,11566800
3-203,3,30,32,2комн.,63.93,10621400
3-204,3,31,32,2комн.,60.9,10239700
3-205,3,31,32,3комн.,90.49,14856600
3-206,3,31,32,1комн.,41.96,7299300
3-207,3,31,32,1комн.,40.88,7111500
3-208,3,31,32,1комн.,40.73,7085400
3-209,3,31,32,2комн.,69.36,11705400
3-21,3,5,32,1комн.,40.73,5521100
3-210,3,31,32,2комн.,63.93,10749100
3-211,3,32,32,2комн.,60.9,10422200
3-212,3,32,32,3комн.,90.49,15127900
3-213,3,32,32,1комн.,41.96,7425100
3-214,3,32,32,1комн.,40.88,7234000
3-215,3,32,32,1комн.,40.73,7207500
3-216,3,32,32,2комн.,69.36,11913300
3-217,3,32,32,2комн.,63.93,10940800
3-22,3,5,32,2комн.,65.33,8516200
3-23,3,5,32,3комн.,88.11,11081900
3-24,3,5,32,2комн.,58.58,7636300
3-25,3,6,32,2комн.,60.9,7942500
3-28,3,6,32,1комн.,40.88,5544000
3-29,3,6,32,1комн.,40.73,5523600
3-3,3,3,32,1комн.,41.96,5682600
3-30,3,6,32,2комн.,65.33,8520300
3-31,3,6,32,3комн.,88.11,11087400
3-32,3,6,32,2комн.,58.58,7640000
3-33,3,7,32,2комн.,60.9,7946300
3-34,3,7,32,3комн.,90.49,11392500
3-38,3,7,32,2комн.,65.33,8524400
3-39,3,7,32,3комн.,88.11,11092900
3-4,3,3,32,1комн.,40.88,5536300
3-41,3,8,32,2комн.,60.9,7950200
3-49,3,9,32,2комн.,60.9,7954000
3-5,3,3,32,1комн.,40.73,5516000
