rowid,building,floor,height,rooms,square,price
4-1,4,3,23,2комн.,61.03,7862600
4-10,4,4,23,3комн.,88.21,10969700
4-100,4,15,23,1комн.,40.81,5575800
4-101,4,15,23,1комн.,40.66,5555300
4-102,4,15,23,2комн.,65.34,8591400
4-104,4,15,23,2комн.,58.66,7713100
4-105,4,16,23,2комн.,61.03,8028500
4-106,4,16,23,1комн.,47.06,6432600
4-107,4,16,23,1комн.,41.61,5687700
4-108,4,16,23,1комн.,40.81,5578300
4-109,4,16,23,1комн.,40.66,5557800
4-11,4,4,23,1комн.,41.61,5577100
4-110,4,16,23,2комн.,65.34,8595500
4-111,4,16,23,3комн.,87.99,11176100
4-112,4,16,23,2комн.,58.66,7716700
4-113,4,17,23,2комн.,64.08,8485200
4-114,4,17,23,1комн.,45.75,6293100
4-115,4,17,23,1комн.,40.81,5613600
4-116,4,17,23,1комн.,40.66,5593000
4-117,4,17,23,2комн.,65.34,8652000
4-118,4,17,23,3комн.,87.99,11252200
4-119,4,17,23,2комн.,58.66,7767500
4-120,4,18,23,2комн.,64.08,8489100
4-121,4,18,23,1комн.,45.75,6296000
4-122,4,18,23,1комн.,40.81,5616100
4-123,4,18,23,1комн.,40.66,5595500
4-124,4,18,23,2комн.,65.34,8656000
4-125,4,18,23,3комн.,87.99,11257600
4-126,4,18,23,2комн.,58.66,7771100
4-127,4,19,23,2комн.,64.08,8493100
4-128,4,19,23,1комн.,45.75,6298800
4-130,4,19,23,1комн.,40.66,5598000
4-131,4,19,23,2комн.,65.34,8660100
4-132,4,19,23,3комн.,87.99,11263100
4-133,4,19,23,2комн.,58.66,7774700
4-134,4,20,23,2комн.,64.08,8497000
4-135,4,20,23,1комн.,45.75,6301600
4-136,4,20,23,1комн.,40.81,5621200
4-137,4,20,23,1комн.,40.66,5600500
4-138,4,20,23,2комн.,65.34,8664100
4-139,4,20,23,3комн.,87.99,11268500
4-140,4,20,23,2комн.,58.66,7778300
4-141,4,21,23,2комн.,64.08,8501000
4-142,4,21,23,1комн.,45.75,6304400
4-144,4,21,23,1комн.,40.66,5603000
4-145,4,21,23,2комн.,65.34,8668100
4-146,4,21,23,3комн.,87.99,11273900
4-147,4,21,23,2комн.,58.66,7781900
4-148,4,22,23,2комн.,64.08,8564300
4-149,4,22,23,1комн.,45.75,6349700
4-15,4,4,23,3комн.,87.99,10942400
4-150,4,22,23,1комн.,40.81,5664000
4-151,4,22,23,1комн.,40.66,5643200
4-152,4,22,23,2комн.,65.34,8732700
4-153,4,22,23,3комн.,87.99,11360900
4-154,4,22,23,2комн.,58.66,7839900
4-155,4,23,23,2комн.,64.08,9949900
4-156,4,23,23,1комн.,45.75,7338900
4-157,4,23,23,1комн.,40.81,6546400
4-158,4,23,23,1комн.,40.66,6522400
4-159,4,23,23,2комн.,65.34,10145500
4-16,4,4,23,2комн.,58.66,7560900
4-160,4,23,23,3комн.,87.99,13263500
4-161,4,23,23,2комн.,58.66,9108300
4-17,4,5,23,2комн.,61.03,7870100
4-18,4,5,23,3комн.,88.21,10975200
4-19,4,5,23,1комн.,41.61,5579700
4-2,4,3,23,3комн.,88.21,10964300
4-20,4,5,23,1комн.,40.81,5472400
4-21,4,5,23,1комн.,40.66,5452300
4-23,4,5,23,3комн.,87.99,10947800
4-24,4,5,23,2комн.,58.66,7564500
4-25,4,6,23,2комн.,61.03,7873900
4-26,4,6,23,3комн.,88.21,10980600
4-3,4,3,23,1комн.,41.61,5574600
4-30,4,6,23,2комн.,65.34,8430000
4-32,4,6,23,2комн.,58.66,7568100
4-33,4,7,23,2комн.,61.03,7877700
4-4,4,3,23,1комн.,40.81,5467400
4-41,4,8,23,2комн.,61.03,7881500
4-47,4,8,23,3комн.,87.99,10964100
4-48,4,8,23,2комн.,58.66,7575400
4-49,4,9,23,2комн.,61.03,7885200
4-5,4,3,23,1комн.,40.66,5447300
4-50,4,9,23,3комн.,88.21,10997000
4-53,4,9,23,1комн.,40.66,5462400
4-56,4,9,23,2комн.,58.66,7579000
4-57,4,10,23,2комн.,61.03,8005900
4-6,4,3,23,2комн.,65.34,8417900
4-63,4,10,23,3комн.,87.99,11143500
4-64,4,10,23,2комн.,58.66,7695000
4-65,4,11,23,2комн.,61.03,8009600
4-66,4,11,23,3комн.,88.21,11176800
4-67,4,11,23,1комн.,41.61,5674800
4-69,4,11,23,1комн.,40.66,5545300
4-7,4,3,23,3комн.,87.99,10936900
4-70,4,11,23,2комн.,65.34,8575300
4-71,4,11,23,3комн.,87.99,11148900
4-72,4,11,23,2комн.,58.66,7698600
4-73,4,12,23,2комн.,61.03,8013400
4-74,4,12,23,3комн.,88.21,11182200
4-75,4,12,23,1комн.,41.61,5677400
4-76,4,12,23,1комн.,40.81,5568200
4-77,4,12,23,1комн.,40.66,5547800
4-79,4,12,23,3комн.,87.99,11154400
4-8,4,3,23,2комн.,58.66,7557300
4-80,4,12,23,2комн.,58.66,7702200
4-81,4,13,23,2комн.,61.03,8017200
4-82,4,13,23,3комн.,88.21,11187700
4-83,4,13,23,1комн.,41.61,5680000
4-84,4,13,23,1комн.,40.81,5570700
4-85,4,13,23,1комн.,40.66,5550300
4-86,4,13,23,2комн.,65.34,8583400
4-87,4,13,23,3комн.,87.99,11159800
4-88,4,13,23,2комн.,58.66,7705900
4-89,4,14,23,2комн.,61.03,8021000
4-9,4,4,23,2комн.,61.03,7866400
4-90,4,14,23,3комн.,88.21,11193100
4-91,4,14,23,1комн.,41.61,5682500
4-92,4,14,23,1комн.,40.81,5573300
4-93,4,14,23,1комн.,40.66,5552800
4-94,4,14,23,2комн.,65.34,8587400
4-95,4,14,23,3комн.,87.99,11165200
4-96,4,14,23,2комн.,58.66,7709500
4-97,4,15,23,2комн.,61.03,8024700
4-98,4,15,23,3комн.,88.21,11198600
