rowid,building,floor,height,rooms,square,price
3-1,3,3,32,2комн.,60.9,8271900
3-10,3,4,32,3комн.,90.49,11881900
3-100,3,15,32,1комн.,40.88,5849300
3-101,3,15,32,1комн.,40.73,5827800
3-102,3,15,32,2комн.,65.33,9008300
3-103,3,15,32,3комн.,88.11,11745500
3-105,3,16,32,2комн.,60.9,8401200
3-106,3,16,32,3комн.,90.49,12068400
3-108,3,16,32,1комн.,40.88,5851800
3-109,3,16,32,1комн.,40.73,5830400
3-110,3,16,32,2комн.,65.33,9012300
3-112,3,16,32,2комн.,58.58,8081200
3-113,3,18,32,2комн.,60.9,8458300
3-115,3,18,32,1комн.,41.96,6045700
3-116,3,18,32,1комн.,40.88,5890100
3-117,3,18,32,1комн.,40.73,5868500
3-118,3,18,32,2комн.,69.36,9633200
3-12,3,4,32,1комн.,40.88,5767600
3-120,3,19,32,2комн.,60.9,8462100
3-122,3,19,32,1комн.,41.96,6048400
3-123,3,19,32,1комн.,40.88,5892700
3-124,3,19,32,1комн.,40.73,5871100
3-126,3,19,32,2комн.,63.93,8883100
3-127,3,20,32,2комн.,60.9,8465900
3-129,3,20,32,1комн.,41.96,6051000
3-130,3,20,32,1комн.,40.88,5895200
3-131,3,20,32,1комн.,40.73,5873600
3-133,3,20,32,2комн.,63.93,8887100
3-134,3,21,32,2комн.,60.9,8469700
3-137,3,21,32,1комн.,40.88,5897800
3-138,3,21,32,1комн.,40.73,5876100
3-14,3,4,32,2комн.,65.33,8877700
3-141,3,22,32,2комн.,60.9,8473500
3-143,3,22,32,1комн.,41.96,6056200
3-145,3,22,32,1комн.,40.73,5878700
3-146,3,22,32,2комн.,69.36,9650600
3-147,3,22,32,2комн.,63.93,8895100
3-148,3,23,32,2комн.,60.9,9606800
3-15,3,4,32,3комн.,88.11,11569400
3-150,3,23,32,1комн.,41.96,6837100
3-151,3,23,32,1комн.,40.88,6661100
3-152,3,23,32,1комн.,40.73,6636700
3-153,3,23,32,2комн.,69.36,10941400
3-154,3,23,32,2комн.,63.93,10084800
3-155,3,24,32,2комн.,60.9,9728500
3-156,3,24,32,3комн.,90.49,14040600
3-157,3,24,32,1комн.,41.96,6920900
3-158,3,24,32,1комн.,40.88,6742800
3-159,3,24,32,1комн.,40.73,6718100
3-16,3,4,32,2комн.,58.58,7960400
3-160,3,24,32,2комн.,69.36,11080000
3-161,3,24,32,2комн.,63.93,10212500
3-162,3,25,32,2комн.,60.9,9850200
3-163,3,25,32,3комн.,90.49,14221400
3-164,3,25,32,1комн.,41.96,7004800
3-165,3,25,32,1комн.,40.88,6824500
3-166,3,25,32,1комн.,40.73,6799500
3-167,3,25,32,2комн.,69.36,11218600
3-168,3,25,32,2комн.,63.93,10340300
3-169,3,26,32,2комн.,60.9,9971900
3-17,3,5,32,2комн.,60.9,8279500
3-170,3,26,32,3комн.,90.49,14458800
3-171,3,26,32,1комн.,41.96,7114900
3-172,3,26,32,1комн.,40.88,6931700
3-173,3,26,32,1комн.,40.73,6906300
3-174,3,26,32,2комн.,69.36,11400500
3-175,3,26,32,2комн.,63.93,10468100
3-176,3,27,32,2комн.,60.9,10093600
3-177,3,27,32,3комн.,90.49,14639600
3-178,3,27,32,1комн.,41.96,7198700
3-179,3,27,32,1комн.,40.88,7013400
3-18,3,5,32,3комн.,90.49,11887600
3-180,3,27,32,1комн.,40.73,6987700
3-181,3,27,32,2комн.,69.36,11539100
3-182,3,27,32,2комн.,63.93,10595800
3-183,3,28,32,2комн.,60.9,10215300
3-184,3,28,32,3комн.,90.49,14820500
3-185,3,28,32,1комн.,41.96,7282600
3-186,3,28,32,1комн.,40.88,7095100
3-187,3,28,32,1комн.,40.73,7069100
3-188,3,28,32,2комн.,69.36,11677700
3-189,3,28,32,2комн.,63.93,10723600
3-190,3,29,32,2комн.,60.9,10337000
3-191,3,29,32,3комн.,90.49,15001300
3-192,3,29,32,1комн.,41.96,7366400
3-193,3,29,32,1комн.,40.88,7176800
3-194,3,29,32,1комн.,40.73,7150500
3-195,3,29,32,2комн.,69.36,11816300
3-196,3,29,32,2комн.,63.93,10851300
3-197,3,30,32,2комн.,60.9,10458700
3-198,3,30,32,3комн.,90.49,15182100
3-199,3,30,32,1комн.,41.96,7450300
3-2,3,3,32,3комн.,90.49,11876200
3-20,3,5,32,1комн.,40.88,5770100
3-200,3,30,32,1комн.,40.88,7258500
3-201,3,30,32,1комн.,40.73,7231900
3-202,3,30,32,2комн.,69.36,11954900
3-203,3,30,32,2комн.,63.93,10979100
3-204,3,31,32,2комн.,60.9,10580400
3-205,3,31,32,3комн.,90.49,15363000
3-206,3,31,32,1комн.,41.96,7534100
3-207,3,31,32,1комн.,40.88,7340200
3-208,3,31,32,1комн.,40.73,7313300
3-209,3,31,32,2комн.,69.36,12093500
3-21,3,5,32,1комн.,40.73,5749000
3-210,3,31,32,2комн.,63.93,11106800
3-211,3,32,32,2комн.,60.9,10763000
3-212,3,32,32,3комн.,90.49,15634200
3-213,3,32,32,1комн.,41.96,7659900
3-214,3,32,32,1комн.,40.88,7462700
3-215,3,32,32,1комн.,40.73,7435400
3-216,3,32,32,2комн.,69.36,12301400
3-217,3,32,32,2комн.,63.93,11298500
3-22,3,5,32,2комн.,65.33,8881800
3-23,3,5,32,3комн.,88.11,11574900
3-24,3,5,32,2комн.,58.58,7964100
3-25,3,6,32,2комн.,60.9,8283300
3-28,3,6,32,1комн.,40.88,5772700
3-3,3,3,32,1комн.,41.96,5917300
3-30,3,6,32,2комн.,65.33,8885900
3-31,3,6,32,3комн.,88.11,11580400
3-32,3,6,32,2комн.,58.58,7967800
3-33,3,7,32,2комн.,60.9,8287100
3-34,3,7,32,3комн.,90.49,11898900
3-38,3,7,32,2комн.,65.33,8889900
3-39,3,7,32,3комн.,88.11,11585900
3-4,3,3,32,1комн.,40.88,5765000
3-41,3,8,32,2комн.,60.9,8290900
3-49,3,9,32,2комн.,60.9,8294700
3-5,3,3,32,1комн.,40.73,5743900
3-52,3,9,32,1комн.,40.88,5780400
3-54,3,9,32,2комн.,65.33,8898100
3-57,3,10,32,2комн.,60.9,8378400
3-6,3,3,32,2комн.,65.33,8873600
3-64,3,10,32,2комн.,58.58,8059200
3-65,3,11,32,2комн.,60.9,8382200
3-66,3,11,32,3комн.,90.49,12040100
3-68,3,11,32,1комн.,40.88,5839100
3-69,3,11,32,1комн.,40.73,5817600
