building,floor,height,rooms,rowid,square,price
1-3,1,3,32,1комн.,39.69,5594700
1-21,1,6,32,1комн.,39.69,5602400
1-51,1,11,32,1комн.,39.69,5669500
1-57,1,12,32,1комн.,39.69,5672100
1-63,1,13,32,1комн.,39.69,5674600
1-69,1,14,32,1комн.,39.69,5677200
1-75,1,15,32,1комн.,39.69,5679800
1-81,1,16,32,1комн.,39.69,5682400
1-87,1,17,32,1комн.,39.69,5718500
1-93,1,19,32,1комн.,39.69,5723700
1-99,1,20,32,1комн.,39.69,5726200
1-105,1,21,32,1комн.,39.69,5728800
1-111,1,22,32,1комн.,39.69,5731400
1-92,1,19,32,1комн.,40.03,5772700
1-95,1,19,32,1комн.,40.04,5774100
1-98,1,20,32,1комн.,40.03,5775300
1-101,1,20,32,1комн.,40.04,5776700
1-104,1,21,32,1комн.,40.03,5777900
1-107,1,21,32,1комн.,40.04,5779300
1-110,1,22,32,1комн.,40.03,5780500
1-113,1,22,32,1комн.,40.04,5781900
1-117,1,23,32,1комн.,39.69,6559500
1-116,1,23,32,1комн.,40.03,6615700
1-119,1,23,32,1комн.,40.04,6617400
1-123,1,24,32,1комн.,39.69,6641600
1-122,1,24,32,1комн.,40.03,6698500
1-125,1,24,32,1комн.,40.04,6700100
1-129,1,25,32,1комн.,39.69,6749400
1-128,1,25,32,1комн.,40.03,6807200
1-131,1,25,32,1комн.,40.04,6808900
1-135,1,26,32,1комн.,39.69,6859800
1-134,1,26,32,1комн.,40.03,6918600
1-137,1,26,32,1комн.,40.04,6920300
1-141,1,27,32,1комн.,39.69,6949600
1-140,1,27,32,1комн.,40.03,7009100
1-143,1,27,32,1комн.,40.04,7010900
1-147,1,28,32,1комн.,39.69,7029100
1-146,1,28,32,1комн.,40.03,7089300
1-149,1,28,32,1комн.,40.04,7091000
1-153,1,29,32,1комн.,39.69,7108500
1-152,1,29,32,1комн.,40.03,7169400
1-155,1,29,32,1комн.,40.04,7171200
1-159,1,30,32,1комн.,39.69,7188000
1-158,1,30,32,1комн.,40.03,7249600
1-161,1,30,32,1комн.,40.04,7251400
1-165,1,31,32,1комн.,39.69,7267400
1-164,1,31,32,1комн.,40.03,7329700
1-167,1,31,32,1комн.,40.04,7331500
1-171,1,32,32,1комн.,39.69,7369600
1-170,1,32,32,1комн.,40.03,7432700
1-173,1,32,32,1комн.,40.04,7434600
1-4,1,3,32,2комн.,62.36,8453000
1-10,1,4,32,2комн.,62.36,8457000
1-16,1,5,32,2комн.,62.36,8461100
1-22,1,6,32,2комн.,62.36,8465100
1-28,1,7,32,2комн.,62.36,8469200
1-34,1,8,32,2комн.,62.36,8473200
1-5,1,3,32,2комн.,62.65,8492300
1-11,1,4,32,2комн.,62.65,8496300
1-17,1,5,32,2комн.,62.65,8500400
1-23,1,6,32,2комн.,62.65,8504500
1-29,1,7,32,2комн.,62.65,8508600
1-46,1,10,32,2комн.,62.36,8566500
1-52,1,11,32,2комн.,62.36,8570500
1-58,1,12,32,2комн.,62.36,8574600
1-64,1,13,32,2комн.,62.36,8578600
1-70,1,14,32,2комн.,62.36,8582700
1-76,1,15,32,2комн.,62.36,8586700
1-82,1,16,32,2комн.,62.36,8590800
1-53,1,11,32,2комн.,62.65,8610400
1-59,1,12,32,2комн.,62.65,8614400
1-65,1,13,32,2комн.,62.65,8618500
1-71,1,14,32,2комн.,62.65,8622600
1-77,1,15,32,2комн.,62.65,8626700
1-83,1,16,32,2комн.,62.65,8630700
1-88,1,17,32,2комн.,62.36,8647500
1-94,1,19,32,2комн.,62.36,8655600
1-100,1,20,32,2комн.,62.36,8659700
1-106,1,21,32,2комн.,62.36,8663700
1-112,1,22,32,2комн.,62.36,8667800
1-89,1,17,32,2комн.,62.65,8687700
