rowid,building,floor,height,rooms,square,price
1-10,1,4,32,2комн.,62.36,7780400
1-100,1,20,32,2комн.,62.36,7966900
1-101,1,20,32,1комн.,40.04,5314600
1-102,1,20,32,4комн.,106.54,12761300
1-103,1,21,32,4комн.,101.67,12184000
1-104,1,21,32,1комн.,40.03,5315700
1-105,1,21,32,1комн.,39.69,5270500
1-106,1,21,32,2комн.,62.36,7970600
1-107,1,21,32,1комн.,40.04,5317000
1-108,1,21,32,4комн.,106.54,12767700
1-109,1,22,32,4комн.,101.67,12190100
1-11,1,4,32,2комн.,62.65,7816600
1-110,1,22,32,1комн.,40.03,5318100
1-111,1,22,32,1комн.,39.69,5272900
1-112,1,22,32,2комн.,62.36,7974400
1-113,1,22,32,1комн.,40.04,5319400
1-114,1,22,32,4комн.,106.54,12774000
1-115,1,23,32,4комн.,101.67,14141800
1-116,1,23,32,1комн.,40.03,6086500
1-117,1,23,32,1комн.,39.69,6034800
1-118,1,23,32,2комн.,62.36,9171400
1-119,1,23,32,1комн.,40.04,6088000
1-12,1,4,32,3комн.,86.83,10452400
1-120,1,23,32,4комн.,106.54,14819200
1-121,1,24,32,4комн.,101.67,14335100
1-122,1,24,32,1комн.,40.03,6162600
1-123,1,24,32,1комн.,39.69,6110200
1-124,1,24,32,2комн.,62.36,9290000
1-125,1,24,32,1комн.,40.04,6164100
1-126,1,24,32,4комн.,106.54,15021800
1-127,1,25,32,4комн.,101.67,14589200
1-128,1,25,32,1комн.,40.03,6262600
1-129,1,25,32,1комн.,39.69,6209400
1-130,1,25,32,2комн.,62.36,9445900
1-131,1,25,32,1комн.,40.04,6264200
1-132,1,25,32,4комн.,106.54,15288100
1-133,1,26,32,4комн.,101.67,14849500
1-134,1,26,32,1комн.,40.03,6365100
1-135,1,26,32,1комн.,39.69,6311000
1-136,1,26,32,2комн.,62.36,9605500
1-137,1,26,32,1комн.,40.04,6366700
1-138,1,26,32,4комн.,106.54,15560800
1-139,1,27,32,4комн.,101.67,15061000
1-14,1,5,32,2комн.,65.53,8179900
1-140,1,27,32,1комн.,40.03,6448400
1-141,1,27,32,1комн.,39.69,6393600
1-142,1,27,32,2комн.,62.36,9735300
1-143,1,27,32,1комн.,40.04,6450000
1-144,1,27,32,4комн.,106.54,15782500
1-145,1,28,32,4комн.,101.67,15248300
1-146,1,28,32,1комн.,40.03,6522100
1-147,1,28,32,1комн.,39.69,6466700
1-148,1,28,32,2комн.,62.36,9850100
1-149,1,28,32,1комн.,40.04,6523800
1-150,1,28,32,4комн.,106.54,15978700
1-151,1,29,32,4комн.,101.67,15435600
1-152,1,29,32,1комн.,40.03,6595900
1-153,1,29,32,1комн.,39.69,6539800
1-154,1,29,32,2комн.,62.36,9965000
1-155,1,29,32,1комн.,40.04,6597500
1-156,1,29,32,4комн.,106.54,16174900
1-157,1,30,32,4комн.,101.67,15622800
1-158,1,30,32,1комн.,40.03,6669600
1-159,1,30,32,1комн.,39.69,6612900
1-16,1,5,32,2комн.,62.36,7784200
1-160,1,30,32,2комн.,62.36,10079800
1-161,1,30,32,1комн.,40.04,6671300
1-162,1,30,32,4комн.,106.54,16371200
1-163,1,31,32,4комн.,101.67,15810100
1-164,1,31,32,1комн.,40.03,6743300
1-165,1,31,32,1комн.,39.69,6686000
1-166,1,31,32,2комн.,62.36,10194700
1-167,1,31,32,1комн.,40.04,6745000
1-168,1,31,32,4комн.,106.54,16567400
1-169,1,32,32,4комн.,101.67,16050800
1-17,1,5,32,2комн.,62.65,7820400
1-170,1,32,32,1комн.,40.03,6838100
1-171,1,32,32,1комн.,39.69,6780000
1-172,1,32,32,2комн.,62.36,10342400
