rowid,building,floor,height,rooms,square,price
3-1,3,3,32,2комн.,60.9,7845900
3-10,3,4,32,3комн.,90.49,11253300
3-100,3,15,32,1комн.,40.88,5560100
3-101,3,15,32,1комн.,40.73,5539700
3-102,3,15,32,2комн.,65.33,8549800
3-103,3,15,32,3комн.,88.11,11131500
3-105,3,16,32,2комн.,60.9,7973800
3-106,3,16,32,3комн.,90.49,11437700
3-107,3,16,32,1комн.,41.96,5709600
3-108,3,16,32,1комн.,40.88,5562600
3-109,3,16,32,1комн.,40.73,5542200
3-110,3,16,32,2комн.,65.33,8553800
3-111,3,16,32,1комн.,47.06,6403600
3-112,3,16,32,2комн.,58.58,7670000
3-113,3,18,32,2комн.,60.9,8030200
3-114,3,18,32,3комн.,90.49,11521600
3-115,3,18,32,1комн.,41.96,5748500
3-116,3,18,32,1комн.,40.88,5600500
3-117,3,18,32,1комн.,40.73,5580000
3-118,3,18,32,2комн.,69.36,9145700
3-12,3,4,32,1комн.,40.88,5479300
3-120,3,19,32,2комн.,60.9,8034000
3-121,3,19,32,3комн.,90.49,11527200
3-122,3,19,32,1комн.,41.96,5751100
3-123,3,19,32,1комн.,40.88,5603000
3-124,3,19,32,1комн.,40.73,5582500
3-125,3,19,32,2комн.,69.36,9150000
3-126,3,19,32,2комн.,63.93,8433700
3-127,3,20,32,2комн.,60.9,8037700
3-129,3,20,32,1комн.,41.96,5753700
3-130,3,20,32,1комн.,40.88,5605600
3-131,3,20,32,1комн.,40.73,5585000
3-132,3,20,32,2комн.,69.36,9154300
3-133,3,20,32,2комн.,63.93,8437600
3-134,3,21,32,2комн.,60.9,8041500
3-137,3,21,32,1комн.,40.88,5608100
3-138,3,21,32,1комн.,40.73,5587500
3-139,3,21,32,2комн.,69.36,9158600
3-14,3,4,32,2комн.,65.33,8420600
3-140,3,21,32,2комн.,63.93,8441600
3-141,3,22,32,2комн.,60.9,8045300
3-142,3,22,32,3комн.,90.49,11543900
3-143,3,22,32,1комн.,41.96,5758800
3-145,3,22,32,1комн.,40.73,5590000
3-146,3,22,32,2комн.,69.36,9162900
3-147,3,22,32,2комн.,63.93,8445500
3-148,3,23,32,2комн.,60.9,9166400
3-149,3,23,32,3комн.,90.49,13209900
3-15,3,4,32,3комн.,88.11,10957300
3-150,3,23,32,1комн.,41.96,6531300
3-151,3,23,32,1комн.,40.88,6363200
3-152,3,23,32,1комн.,40.73,6339900
3-153,3,23,32,2комн.,69.36,10439800
3-154,3,23,32,2комн.,63.93,9622500
3-155,3,24,32,2комн.,60.9,9286800
3-156,3,24,32,3комн.,90.49,13388700
3-157,3,24,32,1комн.,41.96,6614300
3-158,3,24,32,1комн.,40.88,6444000
3-159,3,24,32,1комн.,40.73,6420400
3-16,3,4,32,2комн.,58.58,7550600
3-160,3,24,32,2комн.,69.36,10576900
3-161,3,24,32,2комн.,63.93,9748900
3-162,3,25,32,2комн.,60.9,9407200
3-163,3,25,32,3комн.,90.49,13567600
3-164,3,25,32,1комн.,41.96,6697200
3-165,3,25,32,1комн.,40.88,6524800
3-166,3,25,32,1комн.,40.73,6500900
3-167,3,25,32,2комн.,69.36,10714000
3-168,3,25,32,2комн.,63.93,9875200
3-169,3,26,32,2комн.,60.9,9527600
3-17,3,5,32,2комн.,60.9,7853400
3-170,3,26,32,3комн.,90.49,13802400
3-171,3,26,32,1комн.,41.96,6806100
3-172,3,26,32,1комн.,40.88,6630900
3-173,3,26,32,1комн.,40.73,6606600
